abandon,abandonar
baby,bebe 
back,atras 
background,fondo 
backward,hacia atras 
bacteria,bacteria 
bad,malo 
badly,mal 
bag,mochila  
bake,hornear 
balance,balanza 
ball,pelota 
ban,prohibir 
band,banda 
bandage,vendaje 
bank,banco 
bar,barra 
bargain,ganga 
barrier,barrera 
base,base 
basic,basico 
basically,basicamente 
basis,base 
bath,bañera 
bathroom,baño 
battery,bateria 
battle,batalla 
bay,bahia
be,ser/estar 
beach,playa 
beak,pico 
bear,oso 
beard,barba 
beat,batir/vencer
beautiful,bonito 
beautifully,maravillosamente 
beauty,belleza 
because,porque 
become,llegar a ser 
bed,cama 
bedroom,dormitorio 
beef,carne de res 
beer,cerveza
before,antes 
begin,empezar 
beginning,inicio 
behave,comportarse 
behaviour,compartaminento 
behind,detras(prep) 
belief,creencia 
believe,creer 
bell,campana 
belong,pertenecer 
below,debajo(prep)
belt,cinturon 
bend,doblar
benefit,beneficio
bent,doblado 
beside,junto a
besides,ademas 
bet,apostar 
better,mejor 
best,lo mejor 
between,entre(prep) 
beyond,mas alla de
bicycle,bicicleta
bike,bicicleta 
bid,pujar
big,grande 
bill,factura 
bin,cubo 
biology,biologia 
bird,pajaro 
birth,nacimiento 
birthday,cumpleaños 
biscuit,galleta 
bit,un poco 
bite,morder 
bitter,amargo 
bitterly,amargamente 
black,negro 
blade,hoja(arm) 
blame,culpar 
blank,en blanco  
blind,ciego 
block,bloque
blond,rubio
blonde,rubia 
blood,sangre 
blow,soplar 
blue,azul 
board,tabla 
boat,barco 
body,cuerpo 
boil,hervir 
bomb,bomba 
bone,hueso 
book,libro 
boot,bota 
border,borde 
bore,aburrir 
bored,aburrido 
boring,aburrido 
born,nacido
borrow,prestar
boss,jefe 
both,ambos 
bother,molestar 
bottle,botella 
bottom,fondo 
bound,atado  
bowl,cuenco 
box,caja 
boy,chico 
boyfriend,novio 
brain,cerebro 
branch,rama 
brand,marca 
brave,valiente 
bread,pan 
break,romper 
breakfast,desayuno 
breast,pecho 
breath,respiracion 
breathe,respirar 
breathing,respiracion 
breed,reproducirse
brick,ladrillo 
bridge,puente 
brief,breve 
briefly,brevemente 
bright,brillo 
brightly,brillantemente 
brilliant,brillante 
bring,llevar 
broad,ancho
broadcast,transmision 
broadly,ampliamente 
broken,roto 
brother,hermano 
brown,marron 
brush,cepillar 
bubble,burbuja 
budget,presupuesto 
build,construir 
building,edificio 
bullet,bala 
bunch,manojo 
burn,quemar 
burnt,quemado 
burst,estallar 
bury,enterrar 
bus,autobus 
bush,arbusto 
business,negocio  
busy,ocupado 
but,pero
butter,mantequilla 
button,boton 
buy,comprar 
buyer,comprador   
by,por(prep)
bye,adios 
cabinet,gabinete 
cable,cable
cake,pastel 
calculate,calcular 
calculation,calculo 
call,llamar 
calm,calmar  
calmly,tranquilamente 
camera,camara 
camp,campamento 
campaign,campaña 
camping,camping 
can,poder 
cancel,cancelar 
cancer,cancer 
candidate,candidato 
cap,gorra 
capable,capaz 
capacity,capacidad 
capital,capital 
captain,capitan 
capture,capturar 
car,coche 
card,tarjeta 
cardboard,carton 
care,preocuparse
career,carrera 
careful,cuidado 
carefully,cuidadosamente 
careless,descuidado 
carelessly,descuidadamente 
carpet,alfombra 
carrot,zanahoria 
carry,llevar 
case,caso 
cash,efectivo 
cast,echar
castle,castillo 
cat,gato 
catch,coger 
category,categoria 
cause,causar  
cease,cesar 
ceiling,techo 
celebrate,celebrar 
celebration,celebracion 
cell,celda  
centimetre,centimetro 
central,central 
centre,centro 
century,siglo 
ceremony,ceremonia 
certain,cierto
certainly,sin duda 
certificate,certificado 
chain,cadena 
chair,silla
chairman,presidente 
challenge,reto 
chamber,habitacion
chance,probabilidad 
change,cambio 
channel,canal 
chapter,capitulo 
character,personaje 
characteristic,caracteristica 
charge,cargar
charity,caridad 
chart,grafica 
chase,perseguir 
chat,chatear 
cheap,barato 
cheaply,a bajo precio 
cheat,hacer trampas
check,comprobar
cheek,mejilla 
cheerful,alegre 
cheerfully,alegremente 
cheese,queso 
chemical,quimico 
chemist,quimico  
cheque,cheque 
chest,pecho 
chew,masticar 
chicken,pollo 
chief,jefe 
child,niño 
chin,barbilla 
chip,patata frita
chocolate,chocolate 
choice,eleccion 
choose,escoger 
chop,cortar 
church,iglesia 
cigarette,cigarro 
cinema,cine 
circle,circulo 
circumstance,cuircunstancia 
citizen,ciudadano 
city,ciudad 
civil,civil 
claim,reclamar
clap,aplaudir 
class,clase 
classic,clasico 
classroom,clase 
clean,limpiar 
clear,claro
clearly,claramente 
clerk,dependiente 
clever,listo 
click,clic 
client,cliente 
climate,clima 
climb,escalar 
climbing,alpinismo 
clock,reloj
close,cerrar
closed,cerrado 
closely,cercano 
cloth,tela 
clothes,ropa 
clothing,ropa 
cloud,nube 
club,club 
coach,entrenador 
coal,carbon 
coast,costa 
coat,abrigo 
code,codigo 
coffee,cafe 
coin,moneda 
cold,frio 
coldly,friamente 
collapse,colapso 
colleague,colega 
collect,coleccionar 
collection,coleccion 
college,instituto 
colour,color
column,columna 
combination,combinacion 
combine,combinar 
come,venir 
comedy,comedia 
comfort,comodidad 
comfortable,comodo 
comfortably,comodamente 
command,comando 
comment,comentar 
commercial,comercial 
commission,comision 
commit,cometer 
commitment,compromiso 
committee,comite 
common,comun 
commonly,comunmente 
communicate,comunicar 
communication,comunicacion 
community,comunidad 
company,compañia 
compare,comparar 
comparison,comparacion 
compete,competir 
competition,competicion 
competitive,competitivo 
complain,quejarse 
complaint,queja 
complete,completar 
completely,completamente 
complex,complejo 
complicate,complicar 
complicated,complicado 
computer,ordenador 
concentrate,concentrarse 
concentration,concentracion 
concept,concepto 
concern,concernir
concerned,preocupado
concerning,con respecto a
concert,concierto 
conclude,concluir
concrete,concreto
condition,condicion 
conduct,conducta 
conference,conferencia 
confidence,confianza 
confident,confiado
confidently,con confianza 
confine,limitar 
confined,limitado 
confirm,confirmar 
conflict,conflicto 
confront,enfrentar
confuse,confundir 
confused,confundido 
confusing,confuso 
confusion n confusion 
congratulations,felicidades 
congress,congreso 
connect,conectar 
connection,conexion 
conscious,consciente
consequence,consecuencia 
conservative,conservador 
consider,considerar 
considerable,considerable 
considerably,considerablemente 
consideration,consideracion  
constant,constante 
constantly,constantemente 
construct,construir 
construction,construccion 
consult,consultar 
consumer,consumidor 
contact,contacto 
contain,contener 
container,contenedor 
contemporary,contemporaneo 
content,contenido 
contest,concurso 
context,contexto 
continent,continente 
continue,continuar 
continuous,continuo 
continuously,continuamente 
contract,contrato
contrast,contraste 
contrasting,contrastado
contribute,contribuir 
contribution,contribucion 
control,controlar 
controlled,controlado 
convenient,conveniente 
convention,convencion 
conventional,convencional 
conversation,conversacion
convert,convertir 
convince,convencer 
cook,cocinar 
cooker,fogon
cooking,cocina
cool,fresco
cope,superar
copy,copia 
core,nucleo 
corner,esquina 
correct,correcto 
correctly,correctamente 
cost,costar 
cottage,casita de campo 
cotton,algodon 
cough,toser 
coughing,tos
could,podia  
council,consejo 
count,contar 
counter,contador 
country,pais 
countryside,campo 
county,condado 
couple,pareja 
courage,valor 
course,curso 
court,corte 
cousin,primo 
cover,cubrir 
covered,cubierto 
covering,envoltorio 
cow,vaca 
crack,grieta
cracked,agrietado 
craft,crear 
crash,chocar
crazy,loco 
cream,crema 
create,crear 
creature,criatura  
credit,credito 
crime,crimen 
criminal,criminal 
crisis,crisis 
crisp,crujiente 
criterion,criterio 
critical,critico 
criticism,critica 
criticise,criticar
crop,cosecha 
cross,cruz 
crowd,multitud 
crowded,abarrotado 
crown,corona 
crucial,crucial 
cruel,cruel 
crush,machacar
cry,llorar 
cultural,cultural 
culture,cultura 
cup,taza 
cupboard,armario
curb,frenar 
cure,curar 
curious,curioso 
curiously,curiosamente 
curl,rizo 
curly,rizado 
current,actual 
currently,actualmente 
curtain,cortina 
curve,curva 
curved,curvado 
custom,costumbre
customer,cliente 
customs,aduana 
cut,cortar
cycle,bicicleta 
cycling,ciclismo 
dad,padre 
daily,diariamente 
damage,dañar 
damp,humedo 
dance,bailar 
dancer,bailarin 
dancing,baile 
danger,peligro 
dangerous,peligroso 
dare,atreverse 
dark,oscuro 
data,datos 
date,fecha 
daughter,hija 
day,dia 
dead,muerto 
deaf,sordo 
deal,trato
dear,querido 
death,muerte 
debate,debate 
debt,deuda 
decade,decada 
decay,descomposicion
december,diciembre 
decide,decidir 
decision,decision 
declare,declarar 
decline,declinar 
decorate,decorar 
decoration,decoracion 
decorative,decorativo 
decrease,decrementar 
deep,profundo 
deeply,profundamente 
defeat,derrotar 
defence,defensa 
defend,defender 
define,definir 
definite,definitivo 
definitely,definitvamente 
definition,definicion 
degree,grado 
delay,retrasar 
deliberate,deliberado
deliberately,a proposito 
delicate,delicado
delight,delicia
delighted,encantado 
deliver,entregar 
delivery,entrega 
demand,demandar 
demonstrate,demostrar 
dentist,dentista 
deny,negar 
department,departamento 
departure,salida 
depend,depender 
deposit,ingresar 
depress,deprimir 
depressed,deprimido 
depressing,deprimente 
depth,profundidad 
derive,derivar 
describe,describir 
description,descripcion 
desert,desierto 
deserted,desierto 
deserve,merecer 
design,diseñar 
desire,desear 
desk,escritorio
desperate,desesperado 
desperately,desesperadamente 
despite,a pesar de
dessert,postre
destroy,destruir 
destruction,destruccion 
detail,detalle 
detailed,detallado 
determination,determinacion 
determine,determinar 
determined,determinado 
develop,desarrollar 
development,desarrollo 
device,dispositivo 
devote,dedicarse
devoted,devoto
diagram,diagrama 
diamond,diamante 
diary,diario 
dictionary,diccionario 
die,morir 
diet,dieta 
difference,diferencia 
different,diferente 
differently,de manera diferente 
difficult,dificil 
difficulty,dificultad 
dig,excavar 
dinner,cena 
direct,directo
direction,direccion 
directly,directamente 
director,director 
dirt,suciedad 
dirty,sucio 
disabled,desactivado 
disadvantage,desventaja
disagree,discrepar 
disagreement,desacuerdo 
disappear,desaparecer 
disappoint,decepcionar 
disappointed,decepcionado 
disappointing,decepcionante
disappointment,decepcion 
disapproval,desaprobacion 
disapprove,desaprobar 
disapproving,desaprobacion 
disaster,desastre 
disc,disco 
discipline,disciplina 
discount,descuento 
discover,descubrir 
discovery,descubrimiento 
discuss,discutir 
discussion,discusion 
disease,enfermedad 
disgust,asco 
disgusted,disgustado 
dish,plato 
dishonest,deshonesto 
dishonestly,deshonestamente
disk,disco 
dislike,no gustar
dismiss,despedir 
display,exponer
dissolve,disolver
distance,distancia 
distinguish,distinguir 
distribute,distribuir 
distribution,distribucion 
district,distrito 
disturb,molestar 
disturbing,molesto 
divide,dividir 
division,division 
divorce,divorico 
divorced,divorciado 
do,hacer 
doctor,doctor 
document,documento 
dog,perro 
dollar,dolar 
domestic,domestico 
dominate,dominar 
door,puerta 
dot,punto 
double,doble 
doubt,duda 
down,abajo(prep) 
downstairs,en la planta baja
downward,descendente 
dozen,docena 
draft,borrador 
drag,arrastrar 
drama,drama 
dramatic,dramatico 
dramatically,dramaticamente 
draw,dibujar 
drawer,dibujante 
drawing,dibujo 
dream,soñar 
dress,vestido 
dressed,vestido 
drink,beber 
drive,conducir 
driver,conductor 
driving,conduccion 
drop,dejar caer
drug,droga  
drum,tambor 
drunk,borracho 
dry,seco 
due,vencer 
dull,soso
dump,vertedero 
during,durante(prep) 
dust,polvo 
duty,deber 
dying,agonizante  
each,cada  
ear,oreja 
early,temprano 
earn,ganar(money) 
earth,tierra 
ease,facilidad 
easily,facilmente
east,este 
eastern,oriental 
easy,facil 
eat,comer 
economic,economico 
economy,economia 
edge,borde 
edition,edicion 
editor,editor 
educate,educar 
educated,educado 
education,educacion 
effect,efecto 
effective,efectivo 
effectively,efectivamente 
efficient,eficiente 
efficiently,eficientemente 
effort,esfuerzo 
egg,huevo 
either,cualquiera 
elbow,codo 
elderly,anciano 
elect,elegir 
election,eleccion 
electric,electrico 
electrical,electrico 
electricity,electricidad 
electronic,electronico 
elegant,elegante 
element,elemento 
else otro 
elsewhere,en otra parte 
email,correo electronico
embarrass,avergonzar 
embarrassed,avergonzado 
embarrassing,embarazoso 
embarrassment,verguenza 
emerge,emerger
emergency,emergencia 
emotion,emocion 
emotional,emocional 
emotionally,emocionalmente 
emphasis,enfasis 
emphasise,enfatizar 
empire,imperio 
employ,contratar 
employee,empleado 
employer,empleador 
employment,empleo 
empty,vacio 
enable,activar 
encounter,encuentro 
encourage,animar 
encouragement,aliento
end,fin 
ending,final 
enemy,enemigo 
energy,energia 
engage,entablar 
engaged,comprometido 
engine,motor 
engineer,ingeniero 
engineering,ingenieria 
enjoy,disfrutar 
enjoyable,agradable
enjoyment,placer
enormous,enorme 
enough,suficiente 
enquiry,pregunta 
ensure,asegurar 
enter,entrar 
entertain,entretener 
entertainer,artista(entertainment) 
entertaining,entretenido 
entertainment,entretenimiento 
enthusiasm,entusiasmo 
enthusiastic,entusiasta 
entire,entero 
entirely,totalmente 
entitle,autorizar 
entrance,entrada 
entry,entrada 
envelope,sobre(letter) 
environment,medio ambiente 
environmental,medioambiental 
equal,igual
equally,igualmente 
equipment,equipamiento 
equivalent,equivalente 
error,error 
escape,escapar 
especially,especialmente
essay,ensayo   

